분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
총배출량(kt CO2-eq),310565.51,341226.26,368799.41,403692.61,432772.12,464442.2,501209.44,526093.71,459853.43,500237.77,533628.8,550959.72,570762.33,584500.48,595731.88,597794.97,606972.7,613596.49,629004.49,632871.18,689956.6,720605.62,719081.11,727481.76,722649.46,725053.11,735559.69,756270.39,780140.33,757150.53,709472.66,739507.44,722032.63,707199.78
순배출량,271459.59,306083.96,334510.09,370978.63,397705.23,431129.83,464486.19,484371.9,409757.66,441937.31,473190.21,490195.24,512354.22,526383.98,536258.58,540275.48,548271.05,554190.13,568670.95,572758.29,632550.31,664027.63,668485.15,681191.98,675487.13,677270.78,687326.63,713405.1,738561.86,718483.38,670622.79,700612.71,684147.15,667766.58
에너지,234518,257373.99,273799.57,300406.06,323220.73,348030.47,381603.37,398442.5,339897.49,372633.09,402481.97,415271.67,432293.24,442331.2,451670.47,451618.38,458784.58,477386.7,489950.72,498516.53,549748.52,582446.79,577725.4,572494.22,563930.76,564439.95,575763.34,590773.13,613672.85,590489.02,547485.07,570498.72,555630.65,544988.3
A 연료연소,223523.85,246909.94,264283.62,291685.45,315438.69,341032.8,375034.97,392216.4,333921.05,366825.1,396773.91,409714.34,427080.17,437191.62,446637.4,446705.23,453966.11,472618.58,485258.67,493964.16,545339.71,578057.97,573325.78,568278.17,559859.57,560457.81,571819.46,587007.3,609984.87,586935.42,544027.04,567078.28,552228.86,541746.31
A 연료연소_1 에너지산업,42004.07,49945.73,59044.99,67233.27,81318.26,91952.43,110080.09,120575.53,107952.39,117741.03,136316.46,147140.06,155879.48,159850.25,172483.41,178358.59,187144.22,199499.84,212443.14,230654.69,254619.18,264989.86,269449.65,276099.31,263946.83,262304.42,263880.35,273961.83,297732.94,279023.23,246767.98,259488.54,257606.74,248155.39
A 연료연소_a 공공 전기 및 열 생산,37174.66,43773.82,51282.99,58099.59,71719.31,79555.15,96643.67,104573.97,92499.17,101887.04,120792.07,131947.47,141601.16,145691.46,157379.12,163352.44,172206,184497.95,196168.26,214881.77,239940.44,248766.75,253153.13,260234.49,244674.75,244472.5,244805.76,255502.79,276618.81,257496.35,226927.63,239618.78,237858.08,226959.86
A 연료연소_b 석유정제,4193.73,4978.8,6097.8,6793.37,7046.1,9291.77,10525.31,13160.26,13398.1,13874.42,13703.57,13829.95,13813.63,13373.72,13357.84,13884.69,13993.06,14232.55,15603.12,15174.71,14000.68,15338.7,15179.08,14770.47,18515.18,17163.37,18410.79,17274.32,20289.29,20652.64,19169.55,18895.43,18424.27,19605.15
A 연료연소_c 고체연료 제조 및 기타 에너지 산업,635.68,1193.1,1664.21,2340.31,2552.86,3105.51,2911.11,2841.3,2055.12,1979.56,1820.83,1362.65,464.68,785.07,1746.45,1121.45,945.16,769.34,671.76,598.21,678.07,884.41,1117.44,1094.35,756.91,668.55,663.79,1184.71,824.84,874.24,670.81,974.33,1324.39,1590.37
A 연료연소_2 제조업 및 건설업_2 제조업 및 건설업,72192.46,85308.09,88858.87,102976.11,102913.14,104631.92,111746.74,111342.43,101118.62,108883.09,115570.12,115709.32,119247.66,124429.71,125217.51,116429.88,118787.26,124474.24,128280.33,119181.66,142095.69,166247.37,157206.51,144592.49,154221.4,149798.62,153150.4,157393.95,157209.46,153168.59,149122.69,157030.57,144491.64,147240.38
A 연료연소_a 철강,27836.42,35194.6,37227.61,41710.92,41368.27,43002.19,43537.76,41604.11,42532.85,44989.33,46669.24,46884.6,49218.04,50246.29,52845.1,47058.13,49564.37,55302.75,58766.58,50965.18,68610.92,86626.03,84838.14,72196.97,84361.31,79283.24,78069,81711.4,83663.2,82675.49,79620.51,83001.73,73801.95,74997.26
A 연료연소_b 비철금속,549.89,545.99,404.44,417.25,946.4,1021.49,967.16,791.1,784.86,872.17,1174.28,1106.96,1142.38,1358.9,1343.23,1247.29,1275.46,1797.68,2016.18,2666.87,2217.69,2561.11,2266.46,2410.38,2409.96,2704.04,2669.84,2647.94,2927.06,2872.67,3204.08,3765.62,3490.47,3775.43
A 연료연소_c 화학,8582.52,10314.7,10445.31,11397.26,12112.3,11463.12,13349.64,16928.34,13592.51,14692.81,15285.35,15298.75,15141.29,17706.17,18604.02,17312.96,17035.48,17786.79,17503.02,18102.62,20119.06,21948.07,19429.04,20154.96,20017.31,18927.17,20861.58,22411.34,23795.11,22328.71,23676.38,25985.4,23239.47,24925.76
"A 연료연소_d 펄프, 제지 및 인쇄",2883.88,2889.21,3321.24,3489.33,4046.49,4143.14,4491.65,4507.43,3834.53,4210.13,3860.91,3551.24,3644.33,3658.19,3532.53,3166.11,2844.27,2577.01,2210.66,1993.85,1879.26,1580.53,1264.48,1171.18,969.1,883.93,2194.92,2281.55,2291.56,2439.02,2378.12,2372.03,2673.32,2750.24
